gene	C1	C2	C3	PAC51	PAC52	PAC53	logFC	AveExpr	t	P.Value	adj.P.Val	B	change	significance
A1BG	0	0.0345328185084335	0.110752429574222	0.145046993777487	0.115424248037343	0	0.0505310740030364	0.0895244731091055	0.718501896817935	0.499444362947686	0.809638743333771	-5.50185923535576	NOT	FALSE
A1CF	0.0143447388244552	0.0144057561984766	0.0154005433064468	0.105888989333708	0.0481505314848829	0.0658288283480377	0.0911833044265272	0.05883576617681	2.11945029863325	0.078317560106161	0.548749994068299	-4.05088878044124	NOT	FALSE
A2M	0.258933349290738	0.260034718268615	0.694978437042482	0.432335016581724	0.193145170915656	0.198043306916592	-0.110497386697608	0.408601673434307	-0.83748347820383	0.434388417581851	0.771850596455956	-5.41418220150723	NOT	FALSE
A2ML1	0	0	0	0	0	0.0216402254033026	0.0146821166236892	0.00734105831184462	0.359978197823961	0.731188688880319	0.911954364549872	-5.69418469537716	NOT	FALSE
A3GALT2	0	0.27045644186367	0.14456638394638	0.141998597529806	0	0.154485394263616	-0.0442635292055237	0.160832820925596	-0.400207157099501	0.702856224092489	0.900483581935318	-5.67849342910328	NOT	FALSE
A4GALT	11.8889383070036	12.3625612436397	11.9599578567017	10.6616194549735	11.7836274173603	10.9547624934347	-0.0380799896397202	3.65574183056442	-0.477729097329302	0.649740154189569	0.8785211210484	-5.64387749712242	NOT	FALSE
A4GNT	0.0777823495787329	0	0	0	0.0870298401874297	0	0.00631075914425167	0.0360853689801498	0.110386097502301	0.915700973611212	0.973706210466567	-5.75523043923042	NOT	FALSE
AAAS	79.6954043836269	69.6038413489612	73.5168278819602	87.0253399702525	88.1646561196815	93.3794771864907	0.241414310965181	6.36392812410927	4.17218163863205	0.00585719876919615	0.407011371241128	-1.86420968182388	UP	M_TRUE
AACS	13.1641237850921	12.9794389502119	12.4146450321321	11.8060178387136	10.9176106108688	11.9407784044347	-0.0744940460588788	3.72124512653006	-0.783995408375973	0.462844864917664	0.78874427293862	-5.45491859064761	NOT	FALSE
AADAT	10.8593918680754	7.51789071387666	9.57498908176208	8.33285495528357	8.58287639597473	8.27038416573806	-0.0396141270849482	3.29502133378511	-0.382462249165036	0.71529268585087	0.904682355108288	-5.68560889604757	NOT	FALSE
AAGAB	63.5034542549306	62.4020911860232	74.4665860888774	71.6658733568747	69.8872093557128	71.1647672037149	0.0760679987628829	6.12054566035083	1.04597112548807	0.335849673511146	0.722017813372448	-5.23677956488388	NOT	FALSE
