ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa00053	Ascorbate and aldarate metabolism	3/61	27/8039	0.00106810738410067	0.201872295595026	0.19225932913812	ALDH2/UGT1A6/UGT2A3	3
hsa00620	Pyruvate metabolism	3/61	39/8039	0.00312844159990643	0.252775777760242	0.240738835962135	FH/ALDH2/LDHB	3
hsa05169	Epstein-Barr virus infection	6/61	201/8039	0.00401231393270226	0.252775777760242	0.240738835962135	MAPK13/HLA-C/MYD88/EIF2AK2/PSMC2/PSMD4	6
hsa00140	Steroid hormone biosynthesis	3/61	61/8039	0.0109501970068237	0.455527354887656	0.433835576083482	AKR1C3/UGT1A6/UGT2A3	3
hsa00010	Glycolysis / Gluconeogenesis	3/61	68/8039	0.0146892556042922	0.455527354887656	0.433835576083482	ALDH2/ENO1/LDHB	3
hsa01230	Biosynthesis of amino acids	3/61	75/8039	0.0190680518387034	0.455527354887656	0.433835576083482	BCAT1/GLUL/ENO1	3
hsa00020	Citrate cycle (TCA cycle)	2/61	30/8039	0.0214975376764089	0.455527354887656	0.433835576083482	FH/OGDH	2
hsa00983	Drug metabolism - other enzymes	3/61	79/8039	0.0218611078513235	0.455527354887656	0.433835576083482	RRM2B/UGT1A6/UGT2A3	3
hsa05170	Human immunodeficiency virus 1 infection	5/61	212/8039	0.0219102214336704	0.455527354887656	0.433835576083482	CRK/MAPK13/HLA-C/MYD88/GNA11	5
hsa04146	Peroxisome	3/61	83/8039	0.0248666728202685	0.455527354887656	0.433835576083482	PEX19/ACSL4/PEX16	3
hsa00040	Pentose and glucuronate interconversions	2/61	34/8039	0.0271940682264512	0.455527354887656	0.433835576083482	UGT1A6/UGT2A3	2
hsa04540	Gap junction	3/61	88/8039	0.0289223717388988	0.455527354887656	0.433835576083482	TUBA1C/GNA11/TUBB4B	3
hsa00564	Glycerophospholipid metabolism	3/61	98/8039	0.03802281188148	0.485877906604676	0.462740863433025	PCYT1A/LPGAT1/PCYT2	3
hsa05012	Parkinson disease	5/61	249/8039	0.0399410775793309	0.485877906604676	0.462740863433025	TUBA1C/UQCRC1/PSMC2/TUBB4B/PSMD4	5
hsa00860	Porphyrin and chlorophyll metabolism	2/61	42/8039	0.040160071304986	0.485877906604676	0.462740863433025	UGT1A6/UGT2A3	2
hsa05142	Chagas disease (American trypanosomiasis)	3/61	102/8039	0.0420275991657719	0.485877906604676	0.462740863433025	MAPK13/MYD88/GNA11	3
hsa00071	Fatty acid degradation	2/61	44/8039	0.0437033037686746	0.485877906604676	0.462740863433025	ALDH2/ACSL4	2
hsa03050	Proteasome	2/61	46/8039	0.0473587294335571	0.486790969986484	0.463610447606175	PSMC2/PSMD4	2
hsa00280	Valine, leucine and isoleucine degradation	2/61	48/8039	0.0511222685952897	0.486790969986484	0.463610447606175	BCAT1/ALDH2	2
hsa00270	Cysteine and methionine metabolism	2/61	49/8039	0.053043331622086	0.486790969986484	0.463610447606175	BCAT1/LDHB	2
hsa04670	Leukocyte transendothelial migration	3/61	113/8039	0.0540878855540537	0.486790969986484	0.463610447606175	MAPK13/CTNND1/VCL	3
hsa01200	Carbon metabolism	3/61	117/8039	0.0588445871783421	0.492489614065646	0.469037727681568	FH/OGDH/ENO1	3
hsa04935	Growth hormone synthesis, secretion and action	3/61	119/8039	0.0612952069681509	0.492489614065646	0.469037727681568	CRK/MAPK13/GNA11	3
hsa05135	Yersinia infection	3/61	120/8039	0.0625383636908757	0.492489614065646	0.469037727681568	CRK/MAPK13/MYD88	3
hsa05130	Pathogenic Escherichia coli infection	4/61	202/8039	0.0666676190105594	0.500226453653795	0.476406146336948	MAPK13/TUBA1C/MYD88/TUBB4B	4
hsa05134	Legionellosis	2/61	57/8039	0.0692913808734723	0.500226453653795	0.476406146336948	MYD88/EEF1G	2
hsa04010	MAPK signaling pathway	5/61	294/8039	0.0714609219505422	0.500226453653795	0.476406146336948	PPM1A/CRK/MAPK13/MYD88/EREG	5
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	1/61	11/8039	0.080420464164107	0.503271062024932	0.479305773357078	HPD	1
hsa05163	Human cytomegalovirus infection	4/61	225/8039	0.0907521765769017	0.503271062024932	0.479305773357078	CRK/MAPK13/HLA-C/GNA11	4
hsa00830	Retinol metabolism	2/61	67/8039	0.0915424825649493	0.503271062024932	0.479305773357078	UGT1A6/UGT2A3	2
hsa03450	Non-homologous end-joining	1/61	13/8039	0.0943429119526729	0.503271062024932	0.479305773357078	XRCC5	1
hsa05211	Renal cell carcinoma	2/61	69/8039	0.0962175180799639	0.503271062024932	0.479305773357078	CRK/FH	2
hsa04714	Thermogenesis	4/61	231/8039	0.0976460765695228	0.503271062024932	0.479305773357078	MLST8/MAPK13/ACSL4/UQCRC1	4
