ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043312	neutrophil degranulation	13/104	485/17911	4.64772004516031e-06	0.00148373901254232	0.00139303895777342	PSMD13/LTF/SERPINA1/NEU1/NHLRC3/CYB5R3/ANXA2/PSMC3/PA2G4/HBB/EEF1A1/FLG2/HRNR	13
GO:0002446	neutrophil mediated immunity	13/104	489/17911	5.08020371732662e-06	0.00148373901254232	0.00139303895777342	PSMD13/LTF/SERPINA1/NEU1/NHLRC3/CYB5R3/ANXA2/PSMC3/PA2G4/HBB/EEF1A1/FLG2/HRNR	13
GO:0002444	myeloid leukocyte mediated immunity	13/104	495/17911	5.79585551774343e-06	0.00148373901254232	0.00139303895777342	PSMD13/LTF/SERPINA1/NEU1/NHLRC3/CYB5R3/ANXA2/PSMC3/PA2G4/HBB/EEF1A1/FLG2/HRNR	13
GO:0043043	peptide biosynthetic process	10/104	332/17911	2.33630604662026e-05	0.0044857076095109	0.00421149905772336	RACK1/GAPDH/RPS3/RPL5/PA2G4/AIMP1/EIF4A2/EEF1A1/MTFMT/IARS2	10
GO:0006687	glycosphingolipid metabolic process	4/104	40/17911	8.34695438857223e-05	0.0118984833383333	0.0111711363579472	NEU1/HEXA/SUMF2/SUMF1	4
GO:0006457	protein folding	6/104	128/17911	0.000101395304564699	0.0118984833383333	0.0111711363579472	DNAJB6/PDIA6/PDIA3/ST13/GNB2/ERO1A	6
GO:0006412	translation	11/104	483/17911	0.000114098333613769	0.0118984833383333	0.0111711363579472	MRPL3/RACK1/GAPDH/RPS3/RPL5/PA2G4/AIMP1/EIF4A2/EEF1A1/MTFMT/IARS2	11
GO:0006730	one-carbon metabolic process	3/104	18/17911	0.000145648663515082	0.0118984833383333	0.0111711363579472	SFXN3/MAT2A/SFXN1	3
GO:0035722	interleukin-12-mediated signaling pathway	4/104	47/17911	0.000157907959119007	0.0118984833383333	0.0111711363579472	HNRNPA2B1/CAPZA1/ANXA2/TALDO1	4
GO:0070671	response to interleukin-12	4/104	48/17911	0.000171498441492568	0.0118984833383333	0.0111711363579472	HNRNPA2B1/CAPZA1/ANXA2/TALDO1	4
GO:0043687	post-translational protein modification	9/104	346/17911	0.000185151522636325	0.0118984833383333	0.0111711363579472	MFGE8/PSMD13/SERPINA1/PDIA6/SUMF2/PSMC3/RCN1/DCUN1D3/SUMF1	9
GO:0071349	cellular response to interleukin-12	4/104	49/17911	0.000185913802161457	0.0118984833383333	0.0111711363579472	HNRNPA2B1/CAPZA1/ANXA2/TALDO1	4
GO:0044257	cellular protein catabolic process	4/104	60/17911	0.000407465601153496	0.0240718139758373	0.0226003187684328	PPT1/LONP1/HTRA2/ANXA2	4
GO:0061621	canonical glycolysis	3/104	27/17911	0.000502631788348658	0.0275729438179835	0.0258874266931452	ENO1/GAPDH/PKLR	3
GO:0005975	carbohydrate metabolic process	5/104	118/17911	0.000623588455536302	0.0319277289234587	0.0299760064591135	HEXA/AKR7A2/TALDO1/IDH2/SIAE	5
GO:0030308	negative regulation of cell growth	5/104	122/17911	0.00072541827573777	0.034820077235413	0.0326915472947614	PPT1/ENO1/RACK1/NDRG3/DCUN1D3	5
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	4/104	75/17911	0.000950246387130014	0.0429287779597559	0.040304568122852	PSMD13/PDIA3/HLA-A/PSMC3	4
GO:0097193	intrinsic apoptotic signaling pathway	5/104	159/17911	0.00234958437416086	0.0872076137443712	0.0818766658647125	VDAC2/ENO1/RACK1/HTRA2/RPS3	5
GO:0016024	CDP-diacylglycerol biosynthetic process	2/104	13/17911	0.00249813476871897	0.0872076137443712	0.0818766658647125	GPAT3/AGPAT5	2
GO:0034214	protein hexamerization	2/104	13/17911	0.00249813476871897	0.0872076137443712	0.0818766658647125	LETM1/MAT2A	2
