ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa01230	Biosynthesis of amino acids	7/64	75/8039	1.87981245901631e-06	0.000319568118032773	0.000308684993270047	ARG2/ENO1/GAPDH/MAT2A/TALDO1/IDH2/PKLR	7
hsa05012	Parkinson disease	8/64	249/8039	0.000747249764715995	0.0635162300008596	0.0613531385766817	VDAC2/PRKACA/PSMD13/TUBB3/TUBA1C/HTRA2/PSMC3/UQCRC2	8
hsa01200	Carbon metabolism	5/64	117/8039	0.00230577747691277	0.130660723691723	0.126210977683646	ENO1/GAPDH/TALDO1/IDH2/PKLR	5
hsa00520	Amino sugar and nucleotide sugar metabolism	3/64	48/8039	0.00644988524884257	0.274120123075809	0.264784762847221	GMPPB/HEXA/CYB5R3	3
hsa00511	Other glycan degradation	2/64	18/8039	0.00879393995042499	0.293893062731038	0.283884320656606	NEU1/HEXA	2
hsa01212	Fatty acid metabolism	3/64	57/8039	0.0103726963316837	0.293893062731038	0.283884320656606	ACADSB/PPT1/HACD3	3
hsa00010	Glycolysis / Gluconeogenesis	3/64	68/8039	0.016703417712438	0.363981357617802	0.35158570766797	ENO1/GAPDH/PKLR	3
hsa04142	Lysosome	4/64	128/8039	0.0186834417100617	0.363981357617802	0.35158570766797	PPT1/NEU1/HEXA/SUMF1	4
hsa00062	Fatty acid elongation	2/64	27/8039	0.0192696012856483	0.363981357617802	0.35158570766797	PPT1/HACD3	2
hsa04260	Cardiac muscle contraction	3/64	87/8039	0.0317742369535042	0.47694612847267	0.460703381063384	ATP1A3/ACTC1/UQCRC2	3
hsa04540	Gap junction	3/64	88/8039	0.0327132780920313	0.47694612847267	0.460703381063384	PRKACA/TUBB3/TUBA1C	3
hsa04727	GABAergic synapse	3/64	89/8039	0.0336667855392473	0.47694612847267	0.460703381063384	SLC38A2/PRKACA/GNB2	3
hsa04141	Protein processing in endoplasmic reticulum	4/64	167/8039	0.0435959905969888	0.538282621607705	0.519951015299083	PDIA6/PDIA3/DNAJB12/ERO1A	4
hsa05146	Amoebiasis	3/64	102/8039	0.0473616808215768	0.538282621607705	0.519951015299083	ARG2/PRKACA/PRDX1	3
hsa03050	Proteasome	2/64	46/8039	0.0516159991627269	0.538282621607705	0.519951015299083	PSMD13/PSMC3	2
hsa05110	Vibrio cholerae infection	2/64	50/8039	0.0598766218506372	0.538282621607705	0.519951015299083	PRKACA/ERO1A	2
hsa04724	Glutamatergic synapse	3/64	114/8039	0.0620784097169989	0.538282621607705	0.519951015299083	SLC38A2/PRKACA/GNB2	3
hsa04961	Endocrine and other factor-regulated calcium reabsorption	2/64	53/8039	0.0663502202032452	0.538282621607705	0.519951015299083	PRKACA/ATP1A3	2
hsa05169	Epstein-Barr virus infection	4/64	201/8039	0.0756083962782503	0.538282621607705	0.519951015299083	PSMD13/PDIA3/HLA-A/PSMC3	4
hsa05130	Pathogenic Escherichia coli infection	4/64	202/8039	0.0766925596507877	0.538282621607705	0.519951015299083	TUBB3/TUBA1C/GAPDH/RPS3	4
hsa00920	Sulfur metabolism	1/64	10/8039	0.0768609856447442	0.538282621607705	0.519951015299083	SQOR	1
hsa04978	Mineral absorption	2/64	58/8039	0.0776270034039008	0.538282621607705	0.519951015299083	ATP1A3/SLC39A4	2
hsa00561	Glycerolipid metabolism	2/64	61/8039	0.0846633356327545	0.538282621607705	0.519951015299083	GPAT3/AGPAT5	2
hsa04140	Autophagy - animal	3/64	137/8039	0.0954017987990126	0.538282621607705	0.519951015299083	PRKACA/SH3GLB1/IGBP1	3
hsa00970	Aminoacyl-tRNA biosynthesis	2/64	66/8039	0.0967993984348763	0.538282621607705	0.519951015299083	MTFMT/IARS2	2
hsa05163	Human cytomegalovirus infection	4/64	225/8039	0.103757759997401	0.538282621607705	0.519951015299083	PRKACA/PDIA3/HLA-A/GNB2	4
hsa04976	Bile secretion	2/64	72/8039	0.11196768633823	0.538282621607705	0.519951015299083	PRKACA/ATP1A3	2
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	1/64	15/8039	0.113080161960394	0.538282621607705	0.519951015299083	HEXA	1
hsa00604	Glycosphingolipid biosynthesis - ganglio series	1/64	15/8039	0.113080161960394	0.538282621607705	0.519951015299083	HEXA	1
hsa04261	Adrenergic signaling in cardiomyocytes	3/64	149/8039	0.115170978892076	0.538282621607705	0.519951015299083	PRKACA/ATP1A3/ACTC1	3
hsa04918	Thyroid hormone synthesis	2/64	74/8039	0.117155575269251	0.538282621607705	0.519951015299083	PRKACA/ATP1A3	2
hsa04145	Phagosome	3/64	152/8039	0.120341196147233	0.538282621607705	0.519951015299083	TUBB3/TUBA1C/HLA-A	3
hsa04971	Gastric acid secretion	2/64	76/8039	0.122403911526951	0.538282621607705	0.519951015299083	PRKACA/ATP1A3	2
hsa00980	Metabolism of xenobiotics by cytochrome P450	2/64	77/8039	0.125049761917259	0.538282621607705	0.519951015299083	AKR7A2/UGT1A4	2
hsa05010	Alzheimer disease	5/64	334/8039	0.126049423676306	0.538282621607705	0.519951015299083	VDAC2/TUBB3/TUBA1C/GAPDH/UQCRC2	5
hsa04612	Antigen processing and presentation	2/64	78/8039	0.127709551827927	0.538282621607705	0.519951015299083	PDIA3/HLA-A	2
hsa04721	Synaptic vesicle cycle	2/64	78/8039	0.127709551827927	0.538282621607705	0.519951015299083	NAPA/STX3	2
hsa03010	Ribosome	3/64	158/8039	0.130936037056626	0.538282621607705	0.519951015299083	MRPL3/RPS3/RPL5	3
hsa01210	2-Oxocarboxylic acid metabolism	1/64	18/8039	0.134136352812895	0.538282621607705	0.519951015299083	IDH2	1
hsa00531	Glycosaminoglycan degradation	1/64	19/8039	0.14104512645957	0.538282621607705	0.519951015299083	HEXA	1
hsa04146	Peroxisome	2/64	83/8039	0.141204462071451	0.538282621607705	0.519951015299083	PRDX1/IDH2	2
hsa04610	Complement and coagulation cascades	2/64	85/8039	0.146687076476357	0.538282621607705	0.519951015299083	SERPINA1/PROCR	2
hsa00670	One carbon pool by folate	1/64	20/8039	0.147899629191065	0.538282621607705	0.519951015299083	MTFMT	1
hsa04911	Insulin secretion	2/64	86/8039	0.149445109469854	0.538282621607705	0.519951015299083	PRKACA/ATP1A3	2
hsa00220	Arginine biosynthesis	1/64	21/8039	0.154700280610415	0.538282621607705	0.519951015299083	ARG2	1
hsa04970	Salivary secretion	2/64	91/8039	0.163389001584391	0.538282621607705	0.519951015299083	PRKACA/ATP1A3	2
hsa05032	Morphine addiction	2/64	91/8039	0.163389001584391	0.538282621607705	0.519951015299083	PRKACA/GNB2	2
hsa04964	Proximal tubule bicarbonate reclamation	1/64	23/8039	0.168141691987265	0.538282621607705	0.519951015299083	ATP1A3	1
hsa05016	Huntington disease	4/64	271/8039	0.168828686568186	0.538282621607705	0.519951015299083	VDAC2/TUBB3/TUBA1C/UQCRC2	4
hsa04974	Protein digestion and absorption	2/64	95/8039	0.174709098909288	0.538282621607705	0.519951015299083	SLC38A2/ATP1A3	2
hsa05414	Dilated cardiomyopathy (DCM)	2/64	96/8039	0.177559430742486	0.538282621607705	0.519951015299083	PRKACA/ACTC1	2
hsa04713	Circadian entrainment	2/64	97/8039	0.180417283280019	0.538282621607705	0.519951015299083	PRKACA/GNB2	2
hsa00564	Glycerophospholipid metabolism	2/64	98/8039	0.183282362612456	0.538282621607705	0.519951015299083	GPAT3/AGPAT5	2
hsa04925	Aldosterone synthesis and secretion	2/64	98/8039	0.183282362612456	0.538282621607705	0.519951015299083	PRKACA/ATP1A3	2
hsa04950	Maturity onset diabetes of the young	1/64	26/8039	0.187910232003916	0.538282621607705	0.519951015299083	PKLR	1
hsa00053	Ascorbate and aldarate metabolism	1/64	27/8039	0.194396410108465	0.538282621607705	0.519951015299083	UGT1A4	1
hsa01040	Biosynthesis of unsaturated fatty acids	1/64	27/8039	0.194396410108465	0.538282621607705	0.519951015299083	HACD3	1
hsa00020	Citrate cycle (TCA cycle)	1/64	30/8039	0.213550507415652	0.538282621607705	0.519951015299083	IDH2	1
hsa00030	Pentose phosphate pathway	1/64	30/8039	0.213550507415652	0.538282621607705	0.519951015299083	TALDO1	1
hsa04066	HIF-1 signaling pathway	2/64	109/8039	0.215195126582423	0.538282621607705	0.519951015299083	ENO1/GAPDH	2
hsa03020	RNA polymerase	1/64	31/8039	0.219835033264746	0.538282621607705	0.519951015299083	POLR3F	1
hsa04136	Autophagy - other	1/64	32/8039	0.226070117913979	0.538282621607705	0.519951015299083	IGBP1	1
hsa04215	Apoptosis - multiple species	1/64	32/8039	0.226070117913979	0.538282621607705	0.519951015299083	HTRA2	1
hsa04725	Cholinergic synapse	2/64	113/8039	0.226937974457467	0.538282621607705	0.519951015299083	PRKACA/GNB2	2
hsa00051	Fructose and mannose metabolism	1/64	33/8039	0.232256144197669	0.538282621607705	0.519951015299083	GMPPB	1
hsa04130	SNARE interactions in vesicular transport	1/64	33/8039	0.232256144197669	0.538282621607705	0.519951015299083	STX3	1
hsa04726	Serotonergic synapse	2/64	115/8039	0.232828633330263	0.538282621607705	0.519951015299083	PRKACA/GNB2	2
hsa05170	Human immunodeficiency virus 1 infection	3/64	212/8039	0.238065169522889	0.538282621607705	0.519951015299083	PDIA3/HLA-A/GNB2	3
hsa00040	Pentose and glucuronate interconversions	1/64	34/8039	0.238393492033211	0.538282621607705	0.519951015299083	UGT1A4	1
hsa05132	Salmonella infection	3/64	214/8039	0.242323736485247	0.538282621607705	0.519951015299083	GAPDH/ANXA2/RPS3	3
hsa05020	Prion diseases	1/64	35/8039	0.244482538442939	0.538282621607705	0.519951015299083	PRKACA	1
hsa04919	Thyroid hormone signaling pathway	2/64	119/8039	0.244639264129823	0.538282621607705	0.519951015299083	PRKACA/ATP1A3	2
hsa05166	Human T-cell leukemia virus 1 infection	3/64	219/8039	0.253026932684149	0.538282621607705	0.519951015299083	VDAC2/PRKACA/HLA-A	3
hsa04960	Aldosterone-regulated sodium reabsorption	1/64	37/8039	0.25651722072904	0.538282621607705	0.519951015299083	ATP1A3	1
hsa05143	African trypanosomiasis	1/64	37/8039	0.25651722072904	0.538282621607705	0.519951015299083	HBB	1
hsa05330	Allograft rejection	1/64	38/8039	0.262463596369298	0.538282621607705	0.519951015299083	HLA-A	1
hsa00513	Various types of N-glycan biosynthesis	1/64	39/8039	0.26836315015412	0.538282621607705	0.519951015299083	HEXA	1
hsa00620	Pyruvate metabolism	1/64	39/8039	0.26836315015412	0.538282621607705	0.519951015299083	PKLR	1
hsa04926	Relaxin signaling pathway	2/64	129/8039	0.274257448332335	0.538282621607705	0.519951015299083	PRKACA/GNB2	2
hsa00230	Purine metabolism	2/64	130/8039	0.277220979810784	0.538282621607705	0.519951015299083	NUDT5/PKLR	2
hsa04714	Thermogenesis	3/64	231/8039	0.278988262335311	0.538282621607705	0.519951015299083	PRKACA/UQCRC2/NDUFAF5	3
hsa04216	Ferroptosis	1/64	41/8039	0.280023240867753	0.538282621607705	0.519951015299083	VDAC2	1
hsa05332	Graft-versus-host disease	1/64	41/8039	0.280023240867753	0.538282621607705	0.519951015299083	HLA-A	1
hsa04728	Dopaminergic synapse	2/64	132/8039	0.283146548747774	0.538282621607705	0.519951015299083	PRKACA/GNB2	2
hsa00860	Porphyrin and chlorophyll metabolism	1/64	42/8039	0.285784495254408	0.538282621607705	0.519951015299083	UGT1A4	1
hsa04940	Type I diabetes mellitus	1/64	43/8039	0.291500362742681	0.538282621607705	0.519951015299083	HLA-A	1
hsa04210	Apoptosis	2/64	136/8039	0.294986817440802	0.538282621607705	0.519951015299083	TUBA1C/HTRA2	2
hsa00071	Fatty acid degradation	1/64	44/8039	0.297171195256997	0.538282621607705	0.519951015299083	ACADSB	1
hsa04962	Vasopressin-regulated water reabsorption	1/64	44/8039	0.297171195256997	0.538282621607705	0.519951015299083	PRKACA	1
hsa04371	Apelin signaling pathway	2/64	137/8039	0.297943632531791	0.538282621607705	0.519951015299083	PRKACA/GNB2	2
hsa04910	Insulin signaling pathway	2/64	139/8039	0.303852216866784	0.538282621607705	0.519951015299083	PRKACA/PKLR	2
hsa04930	Type II diabetes mellitus	1/64	46/8039	0.308379149656099	0.538282621607705	0.519951015299083	PKLR	1
hsa00514	Other types of O-glycan biosynthesis	1/64	47/8039	0.31391696204469	0.538282621607705	0.519951015299083	XXYLT1	1
hsa00600	Sphingolipid metabolism	1/64	47/8039	0.31391696204469	0.538282621607705	0.519951015299083	NEU1	1
hsa04973	Carbohydrate digestion and absorption	1/64	47/8039	0.31391696204469	0.538282621607705	0.519951015299083	ATP1A3	1
hsa04144	Endocytosis	3/64	247/8039	0.313996208738733	0.538282621607705	0.519951015299083	SH3GLB1/CAPZA1/HLA-A	3
hsa00280	Valine, leucine and isoleucine degradation	1/64	48/8039	0.319411120506795	0.538282621607705	0.519951015299083	ACADSB	1
hsa00270	Cysteine and methionine metabolism	1/64	49/8039	0.32486196374138	0.538282621607705	0.519951015299083	MAT2A	1
hsa05030	Cocaine addiction	1/64	49/8039	0.32486196374138	0.538282621607705	0.519951015299083	PRKACA	1
hsa00330	Arginine and proline metabolism	1/64	50/8039	0.330269827861599	0.538282621607705	0.519951015299083	ARG2	1
hsa04340	Hedgehog signaling pathway	1/64	50/8039	0.330269827861599	0.538282621607705	0.519951015299083	PRKACA	1
hsa04979	Cholesterol metabolism	1/64	50/8039	0.330269827861599	0.538282621607705	0.519951015299083	VDAC2	1
hsa05144	Malaria	1/64	50/8039	0.330269827861599	0.538282621607705	0.519951015299083	HBB	1
hsa04723	Retrograde endocannabinoid signaling	2/64	148/8039	0.330327268642755	0.538282621607705	0.519951015299083	PRKACA/GNB2	2
