C1	C2	C3	PAC21	PAC22	PAC23	PAC51	PAC52	PAC53
A1BG	0	0.0345328185084335	0.110752429574222	0	0	0.175925875385191	0.145046993777487	0.115424248037343	0
A1CF	0.0143447388244552	0.0144057561984766	0.0154005433064468	0.0605607258860576	0	0	0.105888989333708	0.0481505314848829	0.0658288283480377
A2M	0.258933349290738	0.260034718268615	0.694978437042482	0.523809016536868	0.319798379567118	0.287025928682071	0.432335016581724	0.193145170915656	0.198043306916592
A2ML1	0	0	0	0	0.0199682410583923	0.0193005361597449	0	0	0.0216402254033026
A3GALT2	0	0.27045644186367	0.14456638394638	0	0	0	0.141998597529806	0	0.154485394263616
A4GALT	11.8889383070036	12.3625612436397	11.9599578567017	11.9059702023703	11.2975867468333	11.4945411325333	10.6616194549735	11.7836274173603	10.9547624934347
A4GNT	0.0777823495787329	0	0	0.0820955179542814	0.0823422152705767	0.0795888260239152	0	0.0870298401874297	0
AAAS	79.6954043836269	69.6038413489612	73.5168278819602	83.271400816097	83.6273532076035	77.9015927782327	87.0253399702525	88.1646561196815	93.3794771864907
AACS	13.1641237850921	12.9794389502119	12.4146450321321	13.3972346772911	13.2200285969755	12.4889574973625	11.8060178387136	10.9176106108688	11.9407784044347
AADAT	10.8593918680754	7.51789071387666	9.57498908176208	8.29134442314612	9.88167333621599	9.03112909399727	8.33285495528357	8.58287639597473	8.27038416573806
AAGAB	63.5034542549306	62.4020911860232	74.4665860888774	68.6558844840271	65.5902886121763	68.4349907596039	71.6658733568747	69.8872093557128	71.1647672037149
AAK1	3.24425672881907	3.1408598852674	3.08211515370643	2.83293523549344	2.60054275941517	2.75240531472351	2.79970252128763	2.57884146931118	2.25597231319523
AAMDC	3.68663516938874	3.41752268810604	2.96848433084959	4.19037834881279	5.25371293729729	3.33699603150743	2.99052115408142	3.49033106104292	2.60279664702273
AAMP	146.219496641559	135.078264496039	139.79035342874	143.539046372632	146.431807247269	149.07673983416	153.360520114533	157.467690452997	174.597376081714
AANAT	0.503205629500575	0.505346010505172	0.472712274167118	0.863052564684919	0.665881555525635	0.707977131424454	0.464315960306241	0.633410328561158	0.721637254019991
AAR2	54.3280740806935	53.8453833742152	54.7975595068225	55.746563325645	55.7730021577835	58.3170503077516	57.946554961114	58.1031250371113	64.2143128791586
AARD	0	0.0573542580221318	0.122629694963561	0	0.0604593958101035	0	0	0	0
AARS1	588.158637434529	610.220896764365	565.98549577436	590.485942033169	554.522709329434	545.005311430053	509.297952749367	510.191037387446	530.015931744432
AARS2	20.8327481893308	20.8891734191356	21.1961632328559	22.5630306611875	22.5629735286973	21.8085048993734	20.7520807229641	21.7675237116224	23.8638959390313
AARSD1	1.0041356922926	1.23249717324827	1.31760706770261	1.37383658472612	1.57481706751421	1.17967228250086	1.41185862211048	1.28996361854399	1.36534392309719
AASDH	9.23480722436378	8.08510184090274	9.88273077578503	8.84093234969349	9.02416876260763	10.0247205228319	10.0193221705888	9.47166655226314	8.79501219683974
AASDHPPT	36.5825121444882	34.2993490748475	37.863837070943	37.5058879288037	37.2648124951125	33.6706816070938	35.1707996112446	32.8052528161895	16.3585116811862
AASS	2.88047134630937	1.8079521298371	2.09386664457318	2.43849260813728	2.35052852749186	1.81140423166681	1.83518727359379	1.88004169218388	1.75560150317068
AATF	69.0516026048438	68.7290407028266	67.4515348184788	66.5270977361347	66.7888804695771	64.8844779464103	73.3102249187285	70.918039311057	75.6667432003654
AATK	60.0800239598071	58.0465999906022	55.4978855616511	62.4539711022656	61.376629491175	59.9356534439488	59.5059664232129	61.9738162330063	63.799341143428
ABAT	0.381703468144491	0.241354062365118	0.318731491148513	0.208895349147607	0.239454942999588	0.188051471417977	0.208713455251635	0.221450930697919	0.227066895857525
ABCA1	0.121367876833782	0.0243768238501296	0.0651504009461039	0.1665273221012	0.359752043012576	0.111767955331683	0.153583681220839	0.1765363891433	0.111392818285731
ABCA10	0.737521041775044	0.592526465838489	1.02054751651711	0.761119712806523	0.555204990829994	0.570179839894964	1.00242055619869	0.696839283095549	0.883737332804467
ABCA12	0.277962860185228	0.220377766712086	0.219889523424528	0.185290352789354	0.201334408763916	0.269449087052732	0.169701593527133	0.163689301267171	0.0839202188402864
ABCA13	0.0649980543361269	0.0870326961901636	0.0930427255264602	0.114337184055924	0.129971534134371	0.0591178817742751	0.114237625971565	0.137370629936953	0.0662843914851544
ABCA2	38.5238129366883	37.3059710637975	35.3223364747093	39.0689819915184	37.5019009115078	35.8071952611416	31.5660883959292	30.5073754121398	34.3007086023707
ABCA3	14.1388756305448	12.5681670397801	11.9579037361727	12.0538291295713	10.8380670284583	11.8483326201191	11.2056981236707	10.8230594521188	12.7176082791326
ABCA4	2.18361545559949	1.68684880461151	1.73120052504106	1.86148910240338	2.3827533343175	1.58121772563674	1.4347554898729	1.7102568016508	1.46456901420979
ABCA5	21.9223150236707	17.1267189882174	26.6267483072149	19.3479196373443	17.2005737857011	19.9355008030281	23.9126803415653	24.2709410401425	19.0011400080465
ABCA6	0.0292034207473785	0.00977587794838923	0.05225475659814	0.0102742675015979	0.0103051421597575	0.0199211079190346	0.0821225710650653	0.0217835969448101	0.0781760957028153
ABCA7	28.2354019344321	25.4620825344165	28.3692740178855	25.8739622144611	26.4048657389159	26.7853924813499	26.042410373067	26.0106780738837	30.7501821369546
ABCA8	0.428830290528396	0.442958725675836	0.657704400263308	0.55606332793776	0.415058075161494	0.488937171802811	0.400533799749082	0.493522588390987	0.238962508848014
ABCA9	0.0150730443105965	0	0	0	0.0159566759239838	0.0462693323795269	0	0	0.0864638150190989
ABCB1	1.54218311589358	1.31047465942948	1.93588482371602	1.52753375008413	1.30607288164565	1.7236614812965	2.15169696887929	2.41574510039278	2.31368885771538
ABCB10	32.2695684847825	28.4087930484726	35.270155748184	32.1117700458793	31.4201906655581	29.0779346154202	33.8927897224303	31.941382691243	16.0043747432082
ABCB4	0.036763421082297	0.0184598958881482	0	0.0388020194945469	0.0583779266407298	0.0752344864601551	0	0.0205670990090413	0.0421773578576512
ABCB5	0	0	0	0	0	0	0	0.0166500866569308	0
ABCB6	0.449912238481091	0.31893595456314	0.483026704666607	0.446927686412955	0.532321449040343	0.460361340550887	0.586081819979103	0.473790113097781	0.425079697002288
ABCB7	78.61634920245	76.8547058136784	82.6598462360622	79.3532240347719	81.2610909389688	83.2897062688798	80.0177873616134	78.9850594685736	72.9531529496103
ABCB8	29.2886454662632	30.8949990348066	28.9097928761598	32.516789691686	30.0684464913169	32.3542984317947	32.1928433052828	32.341513447625	35.5993026302935
