uniprot	gene
Q9H1A3	METTL9
P19784	CSNK2A2
P37837	TALDO1
Q9Y5B8	NME7
Q9HDC9	APMAP
O75844	ZMPSTE24
O75367	MACROH2A1
P23610	F8A1
A0A161I202	LTF
Q9UMP7	G4
A0A024RB85	PA2G4
O43684	BUB3
Q5U676	B3GAT3
Q5TH30	NDRG3
Q13867	BLMH
P51991	HNRNPA3
Q9NXW2	DNAJB12
Q9Y385	UBE2J1
A0A024R0H7	WDR77
O75317	USP12
Q96EY1	DNAJA3
A0A3B3ITT5	RPL29
B4DR61	SEC61A1
P05787	KRT8
P07992	ERCC1
Q8WWH5	TRUB1
P05026	ATP1B1
P78345	RPP38
Q8WWM7	ATXN2L
Q92604	LPGAT1
Q9HBK9	AS3MT
Q9UHW5	GPN3
A0A024R5F7	DHCR7
Q7Z4F1	LRP10
P05556	ITGB1
Q12846	STX4
A0A087WW40	SH3GLB1
Q8TE02	ELP5
P61962	DCAF7
Q96HE7	ERO1A
A8K3M3	PTPN1
J3KPF3	SLC3A2
A0A024R0W3	SLC38A2
Q6IN84	MRM1
Q02127	DHODH
P16402	H1-3
Q9Y5P6	GMPPB
Q86YZ3	HRNR
O43464	HTRA2
A0A024R394	CHORDC1
P54709	ATP1B3
A8K5K5	EIF3G
Q86X29	LSR
Q9P031	CCDC59
A0A2L0RI88	IVD
Q969V5	MUL1
P12004	PCNA
Q00534	CDK6
P08727	KRT19
Q9UBS4	DNAJB11
Q14320	FAM50A
Q71RG4	TMUB2
Q9NVT9	ARMC1
A0A024R3X4	HSPD1
Q8NBU5	ATAD1
F8W8D3	SLBP
A0A383S2A3	HLA-C
Q3B7K3	IKIP
A0A024RAD5	DDOST
A2A3R6	RPS6
Q96AG4	LRRC59
Q9UNF0	PACSIN2
O43143	DHX15
P50990	CCT8
P35998	PSMC2
Q9NX40	OCIAD1
C9JEJ2	PCYT1A
O15162	PLSCR1
P27824	CANX
P00338	LDHA
Q9BTU6	PI4K2A
P61626	LYZ
P53609	PGGT1B
A0A0J9YXF2	PON2
Q8NBX0	SCCPDH
Q8TD22	SFXN5
V9HWB4	HEL-S-89n
A0MNP2	WDR57
E5KNY5	LRPPRC
Q6P1Q9	METTL2B
P13645	KRT10
Q9Y295	DRG1
P08779	KRT16
P19224	UGT1A6
O00764	PDXK
A0A0B4J1R4	HPD
A0A024R8L1	WBP2
P53602	MVD
Q5EC54	HNRPK
A0A0S2Z4C3	FH
P40925	MDH1
E9PDI4	LAD1
Q96QR8	PURB
A0A024R1Z6	VAT1
A0A024R577	TM7SF2
Q8IVM0	CCDC50
P09668	CTSH
A0A087X1N8	SERPINB6
Q5D862	FLG2
E7ESZ7	NDUFA10
Q12904	AIMP1
P08559	PDHA1
A0A087WY31	YTHDF3
Q96DP5	MTFMT
A0A024R6W0	GOT2
Q495G5	MMAA
Q96PU8	QKI
P46109	CRKL
P05198	EIF2S1
Q96P63	SERPINB12
Q9NV92	NDFIP2
P06748	NPM1
Q9NP79	VTA1
