Protein	Description	Gene	negtive	positive	gene_name
A0A024QZI2	FCGRT 	hCG_1998059	0	0	FCGRT
A0A024QZN9	Voltage-dependent anion channel 2, isoform CRA_a 	VDAC2	0	577767.875	VDAC2
A0A024QZY1	JTV1 gene, isoform CRA_a 	JTV1	133475.546875	1267762.78125	JTV1
A0A024R084	Stromal cell derived factor 4, isoform CRA_c 	SDF4	699218.2890625	215096.0625	SDF4
A0A024R0H7	Testis tissue sperm-binding protein Li 44a 	WDR77	801261.390625	0	WDR77
A0A024R0M6	Translocase of inner mitochondrial membrane 50 homolog (Yeast), isoform CRA_b 	TIMM50	10043397.734375	13756482.78125	TIMM50
A0A024R0R4	SUMO-1 activating enzyme subunit 1, isoform CRA_b 	SAE1	22926290.3125	18893625.046875	SAE1
A0A024R0W3	Solute carrier family 38, member 2, isoform CRA_b 	SLC38A2	0	416811.875	SLC38A2
A0A024R1Z6	Vesicle amine transport protein 1 homolog (T californica), isoform CRA_a 	VAT1	1501626.1796875	1259422.703125	VAT1
A0A024R240	Epididymis secretory sperm binding protein 	GNAQ	4238546.859375	5228905.9765625	GNAQ
A0A024R329	GDP-mannose pyrophosphorylase B, isoform CRA_a 	GMPPB	0	1152773.6875	GMPPB
A0A024R394	Cysteine and histidine-rich domain (CHORD)-containing 1, isoform CRA_c 	CHORDC1	0	480145.59375	CHORDC1
A0A024R3K2	RNA pseudouridylate synthase domain containing 4, isoform CRA_a 	RPUSD4	1337982.671875	484368.8125	RPUSD4
A0A024R3S1	Chromosome 1 open reading frame 198, isoform CRA_a 	C1orf198	0	0	C1orf198
A0A024R3V7	NIF3-like protein 1 	NIF3L1	2043737.65625	1467760.140625	NIF3L1
A0A024R3X4	Epididymis secretory sperm binding protein 	HSPD1	7235090.0546875	6345444.140625	HSPD1
A0A024R488	WD repeat and FYVE domain containing 1, isoform CRA_a 	WDFY1	2612421.0625	0	WDFY1
A0A024R4E2	TAR DNA binding protein, isoform CRA_b 	TARDBP	5573633.734375	1425028.90625	TARDBP
A0A024R539	Uncharacterized protein 	LOC51035	1654378.4375	341657.3125	LOC51035
A0A024R577	Transmembrane 7 superfamily member 2, isoform CRA_a 	TM7SF2	271034.78125	0	TM7SF2
A0A024R5F7	7-dehydrocholesterol reductase isoform 1 	DHCR7	1394313.5	859169.65625	DHCR7
A0A024R5J8	Leucine rich repeat containing 54, isoform CRA_a 	LRRC54	0	293663.09375	LRRC54
A0A024R5L8	START domain containing 10, isoform CRA_a 	STARD10	1640823.5	881901.75	STARD10
A0A024R5X2	HCG2001986, isoform CRA_a 	hCG_2001986	0	318085.0625	SQOR
A0A024R5Z9	Pyruvate kinase 	PKM2	3422854.375	0	PKM2
A0A024R6A0	Arginase 	ARG2	0	682631.453125	ARG2
